"date","name","amount","category","account_id"
"2026-01-29","Team Combat Leag",-1500,,"JDkm8mEw9dh64rAbdxxdsK5E3PgOves7DXMOm"
"2026-01-29","Team Combat Leag",-484.04,,"JDkm8mEw9dh64rAbdxxdsK5E3PgOves7DXMOm"
